,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,pgjdbc,pgjdbc/pgjdbc,"['server', 'postgresql']",others,https://github.com/pgjdbc/pgjdbc,https://github.com/pgjdbc/pgjdbc,BSD-2-Clause,2012-02-06 19:30:35,2025-11-01 21:14:21,2025-11-01 21:14:21,3935,62.0,881.0,81,2360,420.0,956.0,1643,2025-09-18 21:16:12,REL42.7.8,13382.0,405.0,62.0,Postgresql JDBC Driver.,1098886.0,1098886.0,344,35,True,1
1,OpenTelemetry,open-telemetry/opentelemetry-java-instrumentation,['server'],monitoring,https://github.com/open-telemetry/opentelemetry-java-instrumentation,https://github.com/open-telemetry/opentelemetry-java-instrumentation,Apache-2.0,2019-09-25 20:19:14,2025-11-02 11:11:14,2025-11-02 11:11:12,12796,541.0,997.0,52,9981,236.0,3869.0,2364,2025-10-18 01:27:49,2.21.0,19034821.0,317247.0,100.0,OpenTelemetry auto-instrumentation and instrumentation libraries for Java.,,,368,33,True,1
2,Exposed,JetBrains/Exposed,['server'],orm,https://github.com/JetBrains/Exposed,https://github.com/JetBrains/Exposed,Apache-2.0,2013-07-30 12:55:27,2025-10-31 12:52:35,2025-10-31 00:47:24,2972,55.0,746.0,127,1321,148.0,1171.0,9040,2025-10-09 20:27:25,1.0.0-rc-2,,,61.0,Kotlin SQL Framework.,21.0,21.0,220,29,True,1
3,sqlite-jdbc,xerial/sqlite-jdbc,"['server', 'sqlite']",others,https://github.com/xerial/sqlite-jdbc,https://github.com/xerial/sqlite-jdbc,Apache-2.0,2014-08-06 14:01:00,2025-10-28 02:47:44,2025-10-28 02:47:42,1818,23.0,600.0,101,602,56.0,595.0,3139,2025-07-21 04:21:52,3.50.3.0,1051803.0,16964.0,46.0,SQLite JDBC Driver.,,,156,27,True,2
4,mariadb-connector-j,mariadb-corporation/mariadb-connector-j,"['server', 'mariadb']",others,https://github.com/mariadb-corporation/mariadb-connector-j,https://github.com/mariadb-corporation/mariadb-connector-j,LGPL-2.1,2015-01-30 13:12:38,2025-10-17 14:00:26,2025-09-19 12:20:39,3685,26.0,227.0,67,203,,,351,2025-09-11 15:02:40,3.5.6,,,100.0,MariaDB Connector/J is used to connect applications developed in Java to MariaDB and MySQL databases. MariaDB..,,,105,19,False,3
5,ktor-openapi-tools,SMILEY4/ktor-openapi-tools,['server'],openapi,https://github.com/SMILEY4/ktor-openapi-tools,https://github.com/SMILEY4/ktor-openapi-tools,Apache-2.0,2022-08-20 11:29:42,2025-11-02 14:58:41,2025-11-02 14:58:41,634,12.0,39.0,3,40,2.0,179.0,259,2025-09-18 22:06:02,5.3.0,,,79.0,A collection of libraries to simplify API documentation and exploration for Ktor applications. Generates OpenAPI..,,,23,19,True,1
6,mysql-connector-j,mysql/mysql-connector-j,"['server', 'msql']",others,https://github.com/mysql/mysql-connector-j,https://github.com/mysql/mysql-connector-j,,2015-03-23 15:45:23,2025-10-22 12:25:27,2025-09-18 21:42:17,3210,14.0,576.0,77,118,,,977,,,,,,MySQL Connector/J.,,,25,15,False,3
7,KGraphQL,aPureBase/KGraphQL,['server'],graphqlapi,https://github.com/aPureBase/KGraphQL,https://github.com/aPureBase/KGraphQL,MIT,2019-04-29 10:59:16,2025-09-26 08:16:38,2025-09-26 08:16:34,528,2.0,60.0,9,87,53.0,80.0,307,2023-01-27 10:09:55,0.19.0,,,63.0,Pure Kotlin GraphQL implementation.,,,41,15,True,1
8,cohort,sksamuel/cohort,['server'],monitoring,https://github.com/sksamuel/cohort,https://github.com/sksamuel/cohort,Apache-2.0,2021-02-27 00:02:14,2025-08-27 02:27:55,2025-08-27 02:27:55,579,22.0,12.0,5,40,1.0,47.0,176,2025-08-27 02:27:20,2.8.0,,,41.0,"Ktor/Vertx spring-actuator style library - healthchecks, logging, database.",,,11,15,True,3
9,kotlin-asyncapi,asyncapi/kotlin-asyncapi,['server'],asyncapi,https://github.com/asyncapi/kotlin-asyncapi,https://github.com/asyncapi/kotlin-asyncapi,Apache-2.0,2022-07-03 06:20:51,2025-10-27 20:00:54,2025-10-27 19:55:00,204,51.0,3.0,3,192,,5.0,41,2025-10-18 11:21:08,3.1.3,,,15.0,Simplify event-driven API documentation for Kotlin microservices.,1.0,1.0,5,15,False,1
