,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,docs_url,doc_url
0,pgjdbc,pgjdbc/pgjdbc,"['server', 'postgresql']",others,https://github.com/pgjdbc/pgjdbc,https://github.com/pgjdbc/pgjdbc,BSD-2-Clause,2012-02-06 19:30:35,2025-11-08 09:48:48,2025-11-08 09:48:48,3939.0,64.0,882.0,81.0,2360.0,420.0,956.0,1644.0,2025-09-18 21:16:12,REL42.7.8,14808.0,448.0,62.0,Postgresql JDBC Driver.,1099077.0,1099077.0,344.0,35,True,1.0,,,
1,OpenTelemetry,open-telemetry/opentelemetry-java-instrumentation,['server'],monitoring,https://github.com/open-telemetry/opentelemetry-java-instrumentation,https://github.com/open-telemetry/opentelemetry-java-instrumentation,Apache-2.0,2019-09-25 20:19:14,2025-11-09 05:20:19,2025-11-08 13:05:14,12825.0,555.0,1001.0,52.0,10017.0,233.0,3878.0,2381.0,2025-10-18 01:27:49,2.21.0,19299654.0,321660.0,100.0,OpenTelemetry auto-instrumentation and instrumentation libraries for Java.,,,368.0,33,True,1.0,,,
2,Exposed,JetBrains/Exposed,['server'],orm,https://github.com/JetBrains/Exposed,https://github.com/JetBrains/Exposed,Apache-2.0,2013-07-30 12:55:27,2025-11-07 07:55:09,2025-11-06 20:09:55,2978.0,53.0,746.0,128.0,1327.0,148.0,1171.0,9049.0,2025-11-06 20:11:15,1.0.0-rc-3,,,62.0,Kotlin SQL Framework.,21.0,21.0,221.0,29,True,1.0,,,
3,sqlite-jdbc,xerial/sqlite-jdbc,"['server', 'sqlite']",others,https://github.com/xerial/sqlite-jdbc,https://github.com/xerial/sqlite-jdbc,Apache-2.0,2014-08-06 14:01:00,2025-11-07 01:45:17,2025-11-07 01:37:28,1826.0,31.0,600.0,101.0,606.0,56.0,596.0,3141.0,2025-11-05 02:32:50,3.51.0.0,1059261.0,17084.0,47.0,SQLite JDBC Driver.,,,156.0,27,True,2.0,,,
4,Samples for Ktor,ktorio/ktor-samples,"['server', 'client']",examples,https://github.com/ktorio/ktor-samples,https://github.com/ktorio/ktor-samples,Apache-2.0,2018-01-23 13:25:12,2025-11-08 12:28:02,2025-11-07 20:44:06,598.0,71.0,349.0,35.0,262.0,2.0,36.0,1582.0,,,,,,Sample projects for Ktor.,,,47.0,19,True,1.0,True,,
5,mariadb-connector-j,mariadb-corporation/mariadb-connector-j,"['server', 'mariadb']",others,https://github.com/mariadb-corporation/mariadb-connector-j,https://github.com/mariadb-corporation/mariadb-connector-j,LGPL-2.1,2015-01-30 13:12:38,2025-10-17 14:00:26,2025-09-19 12:20:39,3685.0,26.0,228.0,67.0,203.0,,,351.0,2025-09-11 15:02:40,3.5.6,,,100.0,MariaDB Connector/J is used to connect applications developed in Java to MariaDB and MySQL databases. MariaDB..,,,105.0,19,False,3.0,,,
6,ktor-openapi-tools,SMILEY4/ktor-openapi-tools,['server'],openapi,https://github.com/SMILEY4/ktor-openapi-tools,https://github.com/SMILEY4/ktor-openapi-tools,Apache-2.0,2022-08-20 11:29:42,2025-11-04 18:11:04,2025-11-02 14:58:41,634.0,12.0,39.0,3.0,40.0,3.0,179.0,260.0,2025-09-18 22:06:02,5.3.0,,,79.0,A collection of libraries to simplify API documentation and exploration for Ktor applications. Generates OpenAPI..,,,23.0,19,True,1.0,,,
7,Documentation,ktorio/ktor-documentation,['server'],docs,https://github.com/ktorio/ktor-documentation,https://github.com/ktorio/ktor-documentation,Apache-2.0,2020-07-10 07:50:16,2025-11-07 17:01:22,2025-11-07 17:01:22,2225.0,71.0,345.0,13.0,715.0,,,511.0,,,,,,Documentation for the Ktor framework.,,,116.0,17,True,1.0,True,https://ktor.io/docs/welcome.html,
8,mysql-connector-j,mysql/mysql-connector-j,"['server', 'msql']",others,https://github.com/mysql/mysql-connector-j,https://github.com/mysql/mysql-connector-j,,2015-03-23 15:45:23,2025-10-22 12:25:27,2025-09-18 21:42:17,3210.0,14.0,575.0,77.0,118.0,,,976.0,,,,,,MySQL Connector/J.,,,25.0,15,False,3.0,,,
9,KGraphQL,aPureBase/KGraphQL,['server'],graphqlapi,https://github.com/aPureBase/KGraphQL,https://github.com/aPureBase/KGraphQL,MIT,2019-04-29 10:59:16,2025-09-26 08:16:38,2025-09-26 08:16:34,528.0,2.0,60.0,9.0,87.0,53.0,80.0,307.0,2023-01-27 10:09:55,0.19.0,,,63.0,Pure Kotlin GraphQL implementation.,,,42.0,15,True,1.0,,,
